               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09209,              0.1257,                   0,             0.37262,             0.61093,             0.38806,             0.10624,            0.065346,            0.089451,                   0,            0.070149,           0.0033168,           0.0033168
                   1,            0.066342,             0.10911,                   0,             0.46585,             0.66988,             0.59652,             0.24895,             0.05427,            0.080041,                   0,            0.040017,           0.0065185,           0.0065185
                   2,            0.059861,               0.103,                   0,             0.68821,             0.78028,             0.77747,             0.28055,             0.04785,            0.079735,                   0,           0.0097532,           0.0095882,           0.0095882
                   3,            0.052249,            0.098758,                   0,              0.7835,             0.79902,             0.88194,             0.43519,            0.044978,            0.073462,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.045654,            0.096485,                   0,             0.90858,             0.95713,             0.94077,             0.47783,            0.036074,            0.074705,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.042632,            0.095294,                   0,             0.90665,             0.95177,             0.95441,             0.49116,            0.036987,             0.07457,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.038978,            0.093013,                   0,             0.91442,             0.93908,             0.94309,             0.48945,            0.035646,            0.071375,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.039042,            0.089038,                   0,             0.90967,             0.94641,             0.94779,             0.52393,            0.037066,            0.071222,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.036833,            0.087578,                   0,             0.91505,             0.94675,             0.94725,             0.54199,            0.033212,            0.070184,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.036185,            0.089236,                   0,             0.90358,             0.95417,             0.94908,             0.54833,            0.032312,            0.071986,                   0,            0.008416,            0.008416,            0.008416
                  10,              0.0352,            0.087651,                   0,             0.91539,             0.94748,             0.94686,             0.53961,            0.031793,            0.071197,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.034264,            0.088806,                   0,             0.91394,             0.94748,             0.94706,             0.54987,            0.030953,            0.071757,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.033594,            0.087457,                   0,             0.91159,             0.93998,             0.94692,             0.55508,            0.030673,            0.070044,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.033187,            0.086365,                   0,             0.90637,             0.93374,             0.94201,             0.53763,            0.031811,            0.071733,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.032493,            0.085422,                   0,             0.92433,             0.94534,             0.94357,             0.55686,            0.029763,            0.071812,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.031803,            0.082766,                   0,             0.92092,             0.92364,             0.94662,             0.56372,            0.029918,            0.073535,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.031298,            0.083211,                   0,             0.91628,             0.93891,             0.94307,             0.57367,            0.029462,            0.073525,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.031278,             0.08353,                   0,             0.93109,             0.94855,             0.94574,             0.57598,            0.028636,            0.070491,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.030578,            0.081537,                   0,             0.91426,             0.92283,             0.93815,             0.55895,             0.03053,            0.073973,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.030247,            0.081661,                   0,             0.90774,             0.95177,             0.93761,             0.56776,            0.028961,            0.072214,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.030098,            0.081567,                   0,              0.9047,             0.94748,             0.93866,             0.57147,            0.029144,            0.072639,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.028997,            0.078943,                   0,             0.90704,             0.95713,             0.93868,             0.56723,            0.028947,            0.072332,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.029093,            0.078104,                   0,             0.91904,              0.9247,             0.93561,             0.56374,            0.029483,            0.073512,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.029068,            0.077766,                   0,             0.92188,             0.93355,              0.9355,             0.57606,            0.029085,             0.07502,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.02857,             0.07773,                   0,             0.91443,             0.93462,             0.94395,             0.57338,            0.029344,            0.075793,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.028467,             0.07834,                   0,             0.90936,             0.94748,             0.93666,             0.57239,            0.028619,            0.073606,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.027691,            0.073564,                   0,             0.91416,             0.91318,             0.92417,             0.56079,            0.029027,            0.079374,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.028008,            0.073584,                   0,             0.91573,             0.92497,             0.92985,             0.57247,            0.028665,            0.076486,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.027169,            0.073029,                   0,             0.91367,             0.94105,              0.9321,             0.56355,            0.029035,            0.077426,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.027178,            0.075362,                   0,             0.90554,             0.92479,             0.91717,             0.56015,            0.028745,            0.079048,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.026574,            0.071458,                   0,             0.90224,             0.95391,             0.93251,             0.56115,            0.028917,            0.076958,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.026633,            0.071866,                   0,             0.92346,              0.9314,              0.9319,             0.56558,            0.028776,            0.077872,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.026355,            0.069236,                   0,             0.90647,              0.9239,             0.92673,              0.5658,            0.028674,            0.080423,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.026308,            0.070569,                   0,             0.92706,             0.92176,             0.92934,             0.56463,            0.028521,            0.079537,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.026003,            0.070054,                   0,             0.90822,             0.94855,             0.93319,             0.57033,             0.02863,            0.078904,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.025633,            0.069724,                   0,             0.91844,             0.94143,             0.93599,              0.5692,            0.028548,            0.078902,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.025581,            0.067583,                   0,             0.92577,             0.93248,             0.93929,             0.56688,            0.028529,            0.079057,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.025318,            0.067825,                   0,             0.92225,             0.92605,             0.93545,             0.57793,             0.02854,            0.080426,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.025306,            0.069271,                   0,             0.91744,             0.93248,             0.92542,             0.56499,            0.028561,            0.080977,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.025117,            0.067644,                   0,             0.91652,             0.94144,             0.92543,             0.57015,            0.028511,            0.078473,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.025088,            0.066278,                   0,             0.91849,             0.94105,             0.93443,             0.57193,            0.028771,            0.079629,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.024733,            0.066938,                   0,             0.91185,             0.94427,             0.93053,             0.57619,            0.028347,             0.07799,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.02461,             0.06597,                   0,             0.92675,             0.93563,             0.92843,             0.57048,            0.028343,            0.079333,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.024457,            0.067298,                   0,             0.92344,              0.9314,             0.92066,             0.56612,            0.028586,            0.082563,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.02438,            0.065128,                   0,             0.91208,             0.93569,             0.91961,             0.56734,            0.028636,            0.083224,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.024401,            0.064854,                   0,             0.91178,             0.95391,             0.92357,             0.56403,            0.028473,            0.080172,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.023947,            0.064076,                   0,             0.92677,             0.93598,             0.92641,             0.56782,             0.02858,              0.0814,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.023956,            0.064493,                   0,             0.91313,             0.93891,             0.92274,             0.56981,            0.028535,            0.081589,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.023907,              0.0643,                   0,             0.92118,             0.93953,             0.92294,             0.56864,            0.028541,            0.081108,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.023802,            0.065301,                   0,             0.91631,             0.93998,              0.9229,              0.5683,            0.028459,            0.082842,                   0,            0.000496,            0.000496,            0.000496
